"y_test","rf_predict"
801,1387.07463888889
1600,1589.40313609493
822,1255.21868671679
1321,1437.25280717385
1248,1213.15371474359
683,1315.47152850074
1650,1597.98860525585
986,1260.12693671679
1167,1367.51733619305
1526,1707.25691351704
1708,1690.8939062688
1472,1438.59406614292
1815,1889.40695383056
1812,1623.10295436508
1807,1703.52911670274
1969,1535.28022466422
1685,1747.68100255989
1891,1903.79200478688
1977,1969.59670518371
2417,1837.85079960317
2056,1911.27390323565
2744,2181.6663484063
3239,3484.91295391414
3117,3356.75999603175
2471,1897.91966071429
1685,1688.41609090909
3249,2823.0695
3115,4167.95801010101
1795,2854.6549490232
2895,2741.54522222222
2034,3673.3819375
2162,2542.6778458486
3126,3261.69516666667
1683,2354.97681771007
4451,4038.73982142857
4608,4574.19097660099
4333,4898.89125490196
4864,4459.15339285714
4553,4074.97783333333
4123,3961.21923809524
4917,4548.44179166667
5805,4892.71735969994
4274,4055.81703663004
4978,4492.00786904762
4679,4671.44971590909
3982,4576.33651510989
4460,4839.24661204482
3767,4404.82658424908
4844,4784.943875
5119,5037.53260212418
4010,4380.31375091575
4835,4225.34734833288
4991,4912.90589754116
5202,5317.66890569561
5362,4887.96800770698
4040,4239.5134719888
4258,4474.77090259078
4332,4575.51015978198
3387,4326.67415605863
3285,4902.97066164799
3606,4642.79494537815
3840,4500.99018755976
4656,4673.40578674829
4475,4916.26504626338
4302,4758.51982404116
4845,4641.88639816465
3574,4454.66929277733
4866,4773.20666462704
4294,4456.88308333333
4326,4459.42588442838
4150,4523.73558823529
3820,4016.96108333333
4338,4554.0590589263
4725,4735.07320152795
4153,4372.69889595193
5895,4905.64594081465
1115,3762.22158333333
4727,4419.7550626186
4484,5039.59591164799
1996,3512.80182872504
1842,3423.34073268398
3659,4290.12821657754
4760,4100.58401126472
2395,4147.27612278245
5423,4377.91224206349
5010,4497.49651984127
4120,4161.83199183007
3907,4103.99633798391
2429,3400.6452797619
4456,4462.5853660081
4826,4531.38035410334
5117,4910.12644934144
2416,2770.01310416667
5041,4854.74433333333
4381,3871.28255555555
3331,3614.00244222444
3669,3806.78163324176
4186,3708.2413735015
4067,3440.20793681319
3053,3321.16548214286
3520,3616.40841666667
2792,3712.74191516816
3613,3531.31073064436
3727,3324.73872469197
3614,3460.56219474969
2594,3009.02616666667
705,2467.01622619048
3190,3242.68897252747
3709,3399.19605952381
2431,3076.26145665446
3403,3424.72562945388
3750,3652.02322619048
2660,2402.42022069597
1162,2156.36695482296
2302,2007.40686172563
1951,3072.05551220906
2368,3007.64746253746
3272,3497.10955989993
4521,3655.72888937356
3425,3472.76126071055
2376,2705.95448282967
2177,2661.6010367896
2298,2770.69236935191
3376,3869.89459371334
1977,2185.1294142316
4339,3211.37345738439
4075,3222.183058837
4023,3572.48072270689
4509,3915.63259218708
4579,5033.29353424258
4375,4006.45934172921
2802,3013.96998535492
1529,2717.47863949843
3922,3630.3891758658
2689,3122.45795833333
4773,4028.81123901248
5062,5015.35949539254
2732,3641.65207714412
3389,3304.83302586207
4990,5811.36091330796
3194,4374.89846253746
3423,4186.9673591954
3333,3786.05002532339
5382,6106.62936172065
4378,4954.17996681097
5892,5376.68332142857
6230,5973.111625
5698,6037.95477777778
6133,6120.98539285714
5459,5066.01861828449
6436,6500.33537301587
6457,6297.90888492063
5169,6446.61469871795
5585,5601.99514331502
4862,5344.0539265873
5409,5686.28516468254
7132,6553.31690506715
6691,6518.73911660562
3214,4523.686180376
5633,5619.57989728327
5740,6112.10293360806
6296,6824.7701062271
6359,5753.43255952381
6572,6603.63107051282
7429,7262.66311904762
7424,6731.34158333333
7129,6564.87624587912
5260,6164.59227380953
7338,7057.65236813187
4127,6137.70922344322
7498,7257.7109047619
6598,6975.29620833333
6978,7158.38047222223
5823,6617.79925130719
6891,6769.9562281746
5463,6401.36080686275
6660,6318.05426210318
7403,6267.04994662699
7499,6866.27478095238
6786,6042.19484167711
5713,6529.37036653706
7410,5788.56998809524
6966,6837.03787645769
8173,6759.1984625
6685,6580.90473531746
7580,7241.65549344283
7261,7112.19024912465
7175,6464.66290003053
7273,6574.97976785714
6883,6947.72784733893
7765,7394.7016577381
7040,7012.67718960084
7350,6821.32818464052
6864,6751.67385119048
5976,5815.82675320513
7525,7356.36498935787
7804,7628.91337923882
8714,7758.12870364358
7591,7687.05101316739
8395,7406.58583062771
7538,7553.59812103175
6778,6724.28363816739
4639,4823.72918181818
5875,6290.61553224553
8090,7393.95291666666
6824,6982.34120238095
7058,7039.75862824676
5259,5271.5124484127
5686,4724.03937012987
4669,4911.26309722222
2425,5327.84436616162
5323,4900.90637806638
4649,3865.24499571344
5611,4901.15869155844
5047,5307.50382647908
3623,3605.9909724581
1013,3197.88569964064
441,2271.72646978716
1796,2526.28279426034
2729,2681.05930128205
